Trial,Seperation,Sep_Unc,Frequency,Freq_Unc,Transmission,Tran_Unc
1,2,1/16,117.26,0,-0.71,0
2,1/2,1/16,114.66,0,-0.44,0
3,1,1/16,119.40,0,-0.46,0
4,1.5,1/16,118.05,0,-0.59,0
5,2.5,1/16,116.20,0,-1.05,0
6,3.0,1/16,116.03,0,-1.40,0
7,3.5,1/16,115.52,0,-2.15,0
8,4.0,1/16,115.54,0,-2.41,0
9,4.5,1/16,115.34,0,-2.97,0
10,5.0,1/16,115.27,0,-3.97,0
11,7.0,1/16,115.02,0,-9.68,0
12,10.0,1/16,115.07,0,-20.34,0
13,12.0,1/16,115.30,0,-26.19,0
14,5.5,1/16,115.30,0,-4.60,0
15,5.75,1/16,115.30,0,-5.22,0
16,6.0,1/16,115.25,0,-5.75,0
17,6.25,1/16,115.10,0,-6.76,0
18,6.5,1/16,115.10,0,-7.25,0
19,6.75,1/116,115.10,0,-8.01,0